Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18022022,582721270,0001941
Trade Date <18-FEB-2022>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1130,MRF,EQ,19661,13016,66.20
20,1131,MRO-TEK,EQ,4678,3240,69.26
20,1132,MRPL,EQ,500903,189047,37.74
20,1133,MSPL,EQ,8484921,3148635,37.11
20,1134,MSTCLTD,EQ,249967,80152,32.07
20,1135,MTARTECH,EQ,77471,17572,22.68
20,1136,MTEDUCARE,EQ,349186,178665,51.17
20,1137,MTNL,EQ,711133,382736,53.82
20,1138,MUKANDLTD,EQ,36006,21726,60.34
20,1139,MUKTAARTS,EQ,17060,9768,57.26
20,1140,MUNJALAU,EQ,46523,22917,49.26
20,1141,MUNJALSHOW,EQ,66024,53149,80.50
20,1142,MURUDCERA,EQ,357911,110048,30.75
20,1143,MUTHOOTCAP,EQ,10051,5722,56.93
20,1144,MUTHOOTFIN,EQ,1318749,340702,25.84
20,1145,NABARD,N2,70,70,100.00
20,1146,NACLIND,EQ,42164,21592,51.21
20,1147,NAGAFERT,EQ,413502,302803,73.23
20,1148,NAGREEKCAP,EQ,6367,1984,31.16
20,1149,NAGREEKEXP,EQ,21644,15219,70.32
20,1150,NAHARCAP,EQ,14977,7423,49.56
20,1151,NAHARINDUS,EQ,71986,40555,56.34
20,1152,NAHARPOLY,EQ,38396,17099,44.53
20,1153,NAM-INDIA,EQ,402585,216920,53.88
20,1154,NARMADA,SM,7200,7200,100.00
20,1155,NATCOPHARM,EQ,99773,60512,60.65
20,1156,NATHBIOGEN,EQ,15861,11283,71.14
20,1157,NATIONALUM,EQ,12570792,2249335,17.89
20,1158,NAUKRI,EQ,525570,190435,36.23
20,1159,NAVINFLUOR,EQ,71634,21535,30.06
20,1160,NAVKARCORP,EQ,260457,184911,70.99
20,1161,NAVNETEDUL,EQ,115509,63053,54.59
20,1162,NAZARA,EQ,41377,18057,43.64
20,1163,NBCC,EQ,7303632,2458868,33.67
20,1164,NBIFIN,EQ,94,52,55.32
20,1165,NBVENTURES,EQ,233214,118948,51.00
20,1166,NCC,EQ,1862188,798736,42.89
