Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18022022,582721270,0001941
Trade Date <18-FEB-2022>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1437,ROLEXRINGS,EQ,78043,64978,83.26
20,1438,ROLTA,EQ,335096,213654,63.76
20,1439,ROML,EQ,10493,7454,71.04
20,1440,ROSSARI,EQ,28337,12929,45.63
20,1441,ROSSELLIND,EQ,12804,8321,64.99
20,1442,ROUTE,EQ,180082,102401,56.86
20,1443,RPGLIFE,EQ,6850,3969,57.94
20,1444,RPOWER,EQ,21275395,8252115,38.79
20,1445,RPPINFRA,EQ,123632,78345,63.37
20,1446,RPPL,EQ,13673,7088,51.84
20,1447,RPSGVENT,EQ,37292,19588,52.53
20,1448,RSSOFTWARE,EQ,80343,49320,61.39
20,1449,RSWM,EQ,66173,25000,37.78
20,1450,RSYSTEMS,EQ,137412,34860,25.37
20,1451,RTNINDIA,EQ,715266,402638,56.29
20,1452,RUBYMILLS,EQ,40784,15234,37.35
20,1453,RUCHI,EQ,10226,4559,44.58
20,1454,RUCHIRA,EQ,41008,28535,69.58
20,1455,RUPA,EQ,127101,55917,43.99
20,1456,RUSHIL,EQ,56798,29304,51.59
20,1457,RVHL,EQ,15018,11925,79.40
20,1458,RVNL,EQ,1388142,599928,43.22
20,1459,SADBHAV,EQ,232499,147898,63.61
20,1460,SADBHIN,EQ,472995,380839,80.52
20,1461,SAFARI,EQ,4185,2108,50.37
20,1462,SAGCEM,EQ,24531,13718,55.92
20,1463,SAIL,EQ,24800828,5134577,20.70
20,1464,SAKAR,EQ,24594,14396,58.53
20,1465,SAKSOFT,EQ,10544,3492,33.12
20,1466,SAKUMA,EQ,155201,108622,69.99
20,1467,SALASAR,EQ,181473,57711,31.80
20,1468,SALONA,EQ,9953,3487,35.03
20,1469,SALSTEEL,EQ,149913,90667,60.48
20,1470,SALZERELEC,EQ,137350,72101,52.49
20,1471,SANDESH,EQ,1464,1017,69.47
20,1472,SANDHAR,EQ,26776,13953,52.11
20,1473,SANGAMIND,EQ,17685,11902,67.30
20,1474,SANGHIIND,EQ,211141,108707,51.49
20,1475,SANGHVIMOV,EQ,130438,82496,63.25
20,1476,SANGINITA,EQ,20023,12484,62.35
20,1477,SANOFI,EQ,2556,1665,65.14
20,1478,SANSERA,EQ,23553,12123,51.47
20,1479,SAPPHIRE,EQ,51910,26711,51.46
20,1480,SARDAEN,EQ,19421,10070,51.85
20,1481,SARLAPOLY,EQ,85654,61928,72.30
20,1482,SARVESHWAR,SM,52800,51200,96.97
20,1483,SASKEN,EQ,29011,15302,52.75
20,1484,SASTASUNDR,EQ,26300,16138,61.36
20,1485,SATIA,EQ,153408,71740,46.76
20,1486,SBCL,EQ,15034,7895,52.51
20,1487,SBICARD,EQ,629787,242638,38.53
20,1488,SBIETFCON,EQ,37500,5164,13.77
20,1489,SBIETFIT,EQ,3049,1888,61.92
20,1490,SBIETFPB,EQ,740,369,49.86
20,1491,SBIETFQLTY,EQ,3155,2674,84.75
20,1492,SBILIFE,EQ,1734791,531665,30.65
20,1493,SBIN,EQ,15111223,3302927,21.86
20,1494,SCAPDVR,EQ,50715,41472,81.77
20,1495,SCHAEFFLER,EQ,569715,150342,26.39
20,1496,SCHAND,EQ,30651,21969,71.67
20,1497,SCHNEIDER,EQ,1463641,438059,29.93
20,1498,SCI,EQ,973799,422887,43.43
20,1499,SDBL,EQ,133210,83412,62.62
20,1500,SEAMECLTD,EQ,5602,3469,61.92
20,1501,SECURCRED,SM,1200,1200,100.00
20,1502,SECURKLOUD,EQ,27810,14382,51.72
20,1503,SELAN,EQ,93485,45590,48.77
20,1504,SEQUENT,EQ,717957,381685,53.16
20,1505,SESHAPAPER,EQ,11947,8570,71.73
20,1506,SETCO,EQ,122692,46951,38.27
20,1507,SETF10GILT,EQ,130,125,96.15
20,1508,SETFGOLD,EQ,808230,519620,64.29
20,1509,SETFNIF50,EQ,110168,44386,40.29
20,1510,SETFNIFBK,EQ,18426,9212,49.99
20,1511,SETFNN50,EQ,12478,10484,84.02
20,1512,SFL,EQ,23421,11022,47.06
20,1513,SGBAPR28I,GB,263,179,68.06
20,1514,SGBAUG24,GB,215,206,95.81
20,1515,SGBAUG27,GB,149,126,84.56
20,1516,SGBAUG28V,GB,1380,1077,78.04
20,1517,SGBAUG29V,GB,446,428,95.96
20,1518,SGBD29VIII,GB,360,356,98.89
20,1519,SGBDC27VII,GB,38,38,100.00
20,1520,SGBDEC25,GB,10,10,100.00
20,1521,SGBDEC26,GB,15,15,100.00
20,1522,SGBFEB24,GB,71,67,94.37
20,1523,SGBFEB27,GB,1,1,100.00
20,1524,SGBFEB28IX,GB,26,26,100.00
20,1525,SGBFEB29XI,GB,50,50,100.00
20,1526,SGBJ28VIII,GB,1,1,100.00
20,1527,SGBJAN27,GB,54,54,100.00
20,1528,SGBJAN29IX,GB,105,104,99.05
20,1529,SGBJAN29X,GB,369,314,85.09
20,1530,SGBJAN30IX,GB,256,165,64.45
20,1531,SGBJU29III,GB,56,56,100.00
20,1532,SGBJUL25,GB,27,27,100.00
20,1533,SGBJUL27,GB,100,100,100.00
20,1534,SGBJUL28IV,GB,223,124,55.61
20,1535,SGBJUL29IV,GB,337,229,67.95
20,1536,SGBJUN27,GB,6,6,100.00
20,1537,SGBJUN28,GB,311,220,70.74
20,1538,SGBJUN29II,GB,1093,830,75.94
20,1539,SGBMAR24,GB,57,57,100.00
20,1540,SGBMAR25,GB,145,145,100.00
20,1541,SGBMAR28X,GB,30,30,100.00
20,1542,SGBMAY25,GB,48,48,100.00
20,1543,SGBMAY26,GB,12,12,100.00
20,1544,SGBMAY28,GB,129,129,100.00
20,1545,SGBMAY29I,GB,683,522,76.43
20,1546,SGBMR29XII,GB,163,143,87.73
20,1547,SGBN28VIII,GB,47,40,85.11
20,1548,SGBNOV23,GB,18,18,100.00
20,1549,SGBNOV24,GB,195,157,80.51
20,1550,SGBNOV25,GB,2,2,100.00
20,1551,SGBNOV26,GB,49,31,63.27
20,1552,SGBNV29VII,GB,402,377,93.78
20,1553,SGBOC28VII,GB,136,35,25.74
20,1554,SGBOCT25,GB,3,3,100.00
20,1555,SGBOCT25IV,GB,1,1,100.00
20,1556,SGBOCT25V,GB,3,3,100.00
20,1557,SGBOCT26,GB,20,20,100.00
20,1558,SGBOCT27VI,GB,53,53,100.00
20,1559,SGBSEP24,GB,104,104,100.00
20,1560,SGBSEP27,GB,11,11,100.00
20,1561,SGBSEP28VI,GB,166,156,93.98
20,1562,SGBSEP29VI,GB,915,781,85.36
20,1563,SGIL,EQ,5898,3636,61.65
20,1564,SGL,EQ,166067,93549,56.33
20,1565,SHAHALLOYS,EQ,356148,227988,64.01
20,1566,SHAKTIPUMP,EQ,176256,41700,23.66
20,1567,SHALBY,EQ,84887,45282,53.34
20,1568,SHALPAINTS,EQ,151285,74016,48.92
20,1569,SHANKARA,EQ,750326,218937,29.18
20,1570,SHANTIGEAR,EQ,42338,17670,41.74
20,1571,SHARDACROP,EQ,187256,52632,28.11
20,1572,SHARDAMOTR,EQ,6780,4290,63.27
20,1573,SHAREINDIA,EQ,11702,8063,68.90
20,1574,SHARIABEES,EQ,467,379,81.16
20,1575,SHEMAROO,EQ,52693,38103,72.31
20,1576,SHIL,EQ,180152,68043,37.77
20,1577,SHILPAMED,EQ,92182,46207,50.13
20,1578,SHIVALIK,EQ,3116,2088,67.01
20,1579,SHIVAMAUTO,EQ,320688,246806,76.96
20,1580,SHIVAMILLS,EQ,15321,7582,49.49
20,1581,SHIVATEX,EQ,8429,5955,70.65
20,1582,SHIVAUM,SM,3000,3000,100.00
20,1583,SHK,EQ,173637,112231,64.64
20,1584,SHOPERSTOP,EQ,75435,20837,27.62
20,1585,SHRADHA,EQ,30311,12002,39.60
20,1586,SHREDIGCEM,EQ,185707,94375,50.82
20,1587,SHREECEM,EQ,36614,11134,30.41
20,1588,SHREEPUSHK,EQ,181453,65330,36.00
20,1589,SHREYANIND,EQ,432444,116336,26.90
20,1590,SHREYAS,EQ,63378,41335,65.22
20,1591,SHRIRAMCIT,EQ,22970,9444,41.11
20,1592,SHRIRAMEPC,EQ,482955,258586,53.54
20,1593,SHRIRAMPPS,EQ,523374,189055,36.12
20,1594,SHUBHLAXMI,SM,2000,2000,100.00
20,1595,SHYAMCENT,EQ,875662,638258,72.89
20,1596,SHYAMMETL,EQ,134441,72465,53.90
20,1597,SIEMENS,EQ,591359,85801,14.51
20,1598,SIGACHI,EQ,67777,22601,33.35
20,1599,SIGIND,EQ,26369,14664,55.61
20,1600,SIGMA,SM,3000,2400,80.00
20,1601,SIKKO,EQ,1113,650,58.40
20,1602,SILGO,EQ,11867,9367,78.93
20,1603,SILINV,EQ,12099,9676,79.97
20,1604,SILLYMONKS,EQ,15381,4172,27.12
20,1605,SILVER,EQ,26946,17864,66.30
20,1606,SILVERTUC,SM,20000,16000,80.00
20,1607,SIMBHALS,EQ,65845,43521,66.10
20,1608,SIMPLEXINF,EQ,116024,69750,60.12
20,1609,SINTERCOM,EQ,7461,6923,92.79
20,1610,SINTEX,EQ,15898235,6518358,41.00
20,1611,SIRCA,EQ,12659,8111,64.07
20,1612,SIS,EQ,137188,65606,47.82
20,1613,SIYSIL,EQ,85926,36338,42.29
20,1614,SJS,EQ,26284,15394,58.57
20,1615,SJVN,EQ,1479119,974053,65.85
20,1616,SKFINDIA,EQ,20145,7209,35.79
20,1617,SKIPPER,EQ,97791,38201,39.06
20,1618,SKMEGGPROD,EQ,100448,33091,32.94
20,1619,SMARTLINK,EQ,9167,6401,69.83
20,1620,SMCGLOBAL,EQ,65915,39306,59.63
20,1621,SMLISUZU,EQ,8901,3781,42.48
20,1622,SMLT,EQ,8078,4253,52.65
20,1623,SMSLIFE,EQ,983,819,83.32
20,1624,SMSPHARMA,EQ,30046,17612,58.62
20,1625,SNOWMAN,EQ,224557,121311,54.02
20,1626,SOBHA,EQ,701320,250605,35.73
20,1627,SOLARA,EQ,662229,133810,20.21
20,1628,SOLARINDS,EQ,6188,2661,43.00
20,1629,SOLEX,SM,6000,4000,66.67
20,1630,SOMANYCERA,EQ,15969,9298,58.23
20,1631,SOMATEX,EQ,12528,12528,100.00
20,1632,SOMICONVEY,EQ,47668,20669,43.36
20,1633,SONACOMS,EQ,622948,211355,33.93
20,1634,SONAMCLOCK,SM,9000,0,0.00
20,1635,SONATSOFTW,EQ,309200,258951,83.75
20,1636,SORILINFRA,EQ,54798,28064,51.21
20,1637,SOTL,EQ,8019,5369,66.95
20,1638,SOUTHBANK,EQ,3190691,1401187,43.91
20,1639,SOUTHWEST,EQ,56583,31370,55.44
20,1640,SPAL,EQ,25745,11635,45.19
20,1641,SPANDANA,EQ,154724,45289,29.27
20,1642,SPARC,EQ,247205,44036,17.81
20,1643,SPECIALITY,EQ,1784027,409224,22.94
20,1644,SPENCERS,EQ,327697,182992,55.84
20,1645,SPIC,EQ,4674043,1750396,37.45
20,1646,SPICEJET,EQ,2594586,768681,29.63
20,1647,SPLIL,EQ,26684,14478,54.26
20,1648,SPTL,EQ,2209335,1287686,58.28
20,1649,SREEL,EQ,7416,4234,57.09
20,1650,SREIBNPNCD,NO,158,158,100.00
20,1651,SREIBNPNCD,NU,301,301,100.00
20,1652,SREIBNPNCD,Y1,66,66,100.00
20,1653,SREIBNPNCD,Y8,2,1,50.00
20,1654,SREINFRA,EQ,509726,288341,56.57
20,1655,SRF,EQ,386111,146771,38.01
20,1656,SRHHYPOLTD,EQ,503514,128698,25.56
20,1657,SRIRAM,SM,12000,12000,100.00
20,1658,SRTRANSFIN,EQ,1216867,348715,28.66
20,1659,SRTRANSFIN,YH,61,50,81.97
20,1660,SRTRANSFIN,YK,300,300,100.00
20,1661,SRTRANSFIN,YL,50,50,100.00
20,1662,SRTRANSFIN,YO,46,46,100.00
20,1663,SRTRANSFIN,YP,11,11,100.00
20,1664,SRTRANSFIN,YR,260,150,57.69
20,1665,SRTRANSFIN,YV,85,65,76.47
20,1666,SRTRANSFIN,YZ,504,504,100.00
20,1667,SRTRANSFIN,Z7,9,3,33.33
20,1668,SRTRANSFIN,Z8,10,10,100.00
20,1669,SRTRANSFIN,ZG,10,10,100.00
20,1670,SSINFRA,ST,51000,51000,100.00
20,1671,SSWL,EQ,9781,6284,64.25
20,1672,STAR,EQ,357184,69997,19.60
20,1673,STARCEMENT,EQ,85804,54278,63.26
20,1674,STARHEALTH,EQ,52797,28366,53.73
20,1675,STARPAPER,EQ,24230,8908,36.76
20,1676,STCINDIA,EQ,17386,7438,42.78
20,1677,STEELCAS,EQ,1022,418,40.90
20,1678,STEELCITY,EQ,137599,77404,56.25
20,1679,STEL,EQ,8210,5227,63.67
20,1680,STERTOOLS,EQ,22057,16927,76.74
20,1681,STLTECH,EQ,430715,209148,48.56
20,1682,STOVEKRAFT,EQ,171460,72689,42.39
20,1683,STYLAMIND,EQ,7926,4214,53.17
20,1684,SUBEXLTD,EQ,2069034,1006693,48.66
20,1685,SUBROS,EQ,9121,4554,49.93
20,1686,SUDARSCHEM,EQ,42664,16821,39.43
20,1687,SUMEETINDS,EQ,240210,123029,51.22
20,1688,SUMICHEM,EQ,111184,44956,40.43
20,1689,SUMIT,EQ,48508,31427,64.79
20,1690,SUMMITSEC,EQ,4909,2602,53.00
20,1691,SUNCLAYLTD,EQ,3012,1481,49.17
20,1692,SUNDARMFIN,EQ,6728,3753,55.78
20,1693,SUNDARMHLD,EQ,60907,49208,80.79
20,1694,SUNDRMBRAK,EQ,3478,2164,62.22
20,1695,SUNDRMFAST,EQ,86727,80599,92.93
20,1696,SUNFLAG,EQ,47061,23208,49.31
20,1697,SUNPHARMA,EQ,1797851,891234,49.57
20,1698,SUNTECK,EQ,1673830,531085,31.73
20,1699,SUNTV,EQ,1007625,349653,34.70
20,1700,SUPERHOUSE,EQ,10629,5650,53.16
20,1701,SUPPETRO,EQ,32134,9828,30.58
20,1702,SUPRAJIT,EQ,140149,75390,53.79
20,1703,SUPREMEENG,EQ,12438,9394,75.53
20,1704,SUPREMEIND,EQ,49148,38150,77.62
20,1705,SUPRIYA,EQ,301781,82627,27.38
20,1706,SURANI,SM,6000,4000,66.67
20,1707,SURYALAXMI,EQ,32828,20701,63.06
20,1708,SURYAROSNI,EQ,72249,35871,49.65
20,1709,SURYODAY,EQ,26351,16587,62.95
20,1710,SUTLEJTEX,EQ,66475,40723,61.26
20,1711,SUULD,EQ,47812,25312,52.94
20,1712,SUVEN,EQ,145210,71661,49.35
20,1713,SUVENPHAR,EQ,148487,88996,59.94
20,1714,SUVIDHAA,EQ,110047,85844,78.01
20,1715,SUZLON,EQ,48651171,19687426,40.47
20,1716,SVPGLOB,EQ,883787,206126,23.32
20,1717,SWANENERGY,EQ,58804,33863,57.59
20,1718,SWARAJENG,EQ,4398,3741,85.06
20,1719,SWSOLAR,EQ,193671,77379,39.95
20,1720,SYMPHONY,EQ,23395,15794,67.51
20,1721,SYNGENE,EQ,577157,385038,66.71
20,1722,TAINWALCHM,EQ,5119,1512,29.54
20,1723,TAJGVK,EQ,245335,82924,33.80
20,1724,TAKE,EQ,375548,209382,55.75
20,1725,TALBROAUTO,EQ,20895,12108,57.95
20,1726,TANLA,EQ,174713,88228,50.50
20,1727,TARACHAND,SM,36000,18000,50.00
20,1728,TARC,EQ,414257,200285,48.35
20,1729,TARMAT,EQ,42352,15482,36.56
20,1730,TARSONS,EQ,109127,51020,46.75
20,1731,TASTYBITE,EQ,407,253,62.16
20,1732,TATACAPHSG,N2,40,40,100.00
20,1733,TATACAPHSG,N8,20,20,100.00
20,1734,TATACAPHSG,NB,10,10,100.00
20,1735,TATACHEM,EQ,731374,159706,21.84
20,1736,TATACOFFEE,EQ,427322,113505,26.56
20,1737,TATACOMM,EQ,311006,184091,59.19
20,1738,TATACONSUM,EQ,1686289,812012,48.15
20,1739,TATAELXSI,EQ,124944,28809,23.06
20,1740,TATAINVEST,EQ,12170,5293,43.49
20,1741,TATAMETALI,EQ,20099,7706,38.34
20,1742,TATAMOTORS,EQ,15476803,4182412,27.02
20,1743,TATAMTRDVR,EQ,1294680,713944,55.14
20,1744,TATAPOWER,EQ,18717812,3318322,17.73
20,1745,TATASTEEL,EQ,4725120,834039,17.65
20,1746,TATASTLLP,EQ,26308,14417,54.80
20,1747,TATVA,EQ,19763,9628,48.72
20,1748,TBZ,EQ,145916,89377,61.25
20,1749,TCFSL,ND,657,657,100.00
20,1750,TCFSL,NF,144,144,100.00
20,1751,TCFSL,NJ,45,45,100.00
20,1752,TCFSL,NN,10,10,100.00
20,1753,TCI,EQ,29186,11637,39.87
20,1754,TCIDEVELOP,EQ,1172,885,75.51
20,1755,TCIEXP,EQ,10943,4766,43.55
20,1756,TCNSBRANDS,EQ,6361,3078,48.39
20,1757,TCPLPACK,EQ,313716,84037,26.79
20,1758,TCS,EQ,3688883,2727483,73.94
20,1759,TDPOWERSYS,EQ,13243,5929,44.77
20,1760,TEAMLEASE,EQ,49387,46614,94.39
20,1761,TECH,EQ,1727,1660,96.12
20,1762,TECHIN,EQ,99850,76106,76.22
20,1763,TECHM,EQ,2374188,1466845,61.78
20,1764,TECHNOE,EQ,87472,53448,61.10
20,1765,TEGA,EQ,124129,46493,37.46
20,1766,TEJASNET,EQ,138633,91311,65.87
20,1767,TEMBO,EQ,89149,44806,50.26
20,1768,TERASOFT,EQ,47055,28529,60.63
20,1769,TEXINFRA,EQ,387713,313995,80.99
20,1770,TEXMOPIPES,EQ,265476,130648,49.21
20,1771,TEXRAIL,EQ,1399684,636222,45.45
20,1772,TFCILTD,EQ,102253,38954,38.10
20,1773,TFL,EQ,20486,6056,29.56
20,1774,TGBHOTELS,EQ,13588,9969,73.37
20,1775,THANGAMAYL,EQ,4426,2377,53.71
20,1776,THEINVEST,EQ,7322,1973,26.95
20,1777,THEJO,SM,3900,2700,69.23
20,1778,THEMISMED,EQ,4486,2316,51.63
20,1779,THERMAX,EQ,228844,82662,36.12
20,1780,THOMASCOOK,EQ,2001890,1213177,60.60
20,1781,THYROCARE,EQ,65290,44326,67.89
20,1782,TI,EQ,70608,39330,55.70
20,1783,TIDEWATER,EQ,7227,3425,47.39
20,1784,TIIL,EQ,12181,7147,58.67
20,1785,TIINDIA,EQ,138558,85067,61.39
20,1786,TIL,EQ,10132,6958,68.67
20,1787,TIMESCAN,SM,60000,38000,63.33
20,1788,TIMESGTY,EQ,1259937,167843,13.32
20,1789,TIMETECHNO,EQ,556703,242073,43.48
20,1790,TIMKEN,EQ,60912,26402,43.34
20,1791,TINPLATE,EQ,422169,113603,26.91
20,1792,TIRUMALCHM,EQ,353355,120164,34.01
20,1793,TIRUPATIFL,EQ,91566,67632,73.86
20,1794,TITAN,EQ,654373,287801,43.98
20,1795,TMRVL,EQ,64742,36319,56.10
20,1796,TNPETRO,EQ,122559,57328,46.78
20,1797,TNPL,EQ,111944,71129,63.54
20,1798,TOKYOPLAST,EQ,4890,3020,61.76
20,1799,TORNTPHARM,EQ,173233,52037,30.04
20,1800,TORNTPOWER,EQ,1604727,215607,13.44
20,1801,TOUCHWOOD,EQ,6314,4448,70.45
20,1802,TPLPLASTEH,EQ,8253,5435,65.85
20,1803,TREJHARA,EQ,40740,33073,81.18
20,1804,TRENT,EQ,205306,80993,39.45
20,1805,TRF,EQ,6808,4617,67.82
20,1806,TRIGYN,EQ,234633,92678,39.50
20,1807,TRIL,EQ,263632,133016,50.46
20,1808,TRITURBINE,EQ,171676,45218,26.34
20,1809,TRIVENI,EQ,377532,127096,33.66
20,1810,TTKHLTCARE,EQ,14795,12567,84.94
20,1811,TTKPRESTIG,EQ,37983,18536,48.80
20,1812,TTL,EQ,31428,16828,53.54
20,1813,TV18BRDCST,EQ,10134277,2347957,23.17
20,1814,TVSELECT,EQ,174865,57465,32.86
20,1815,TVSMOTOR,EQ,1962790,483841,24.65
20,1816,TVSSRICHAK,EQ,3018,1919,63.59
20,1817,TVTODAY,EQ,62793,29278,46.63
20,1818,TWL,EQ,284593,124200,43.64
20,1819,UBL,EQ,148089,45410,30.66
20,1820,UCALFUEL,EQ,51905,33870,65.25
20,1821,UCOBANK,EQ,2125872,716004,33.68
20,1822,UDAICEMENT,EQ,108483,72701,67.02
20,1823,UFLEX,EQ,248695,91700,36.87
20,1824,UFO,EQ,72655,43344,59.66
20,1825,UGARSUGAR,EQ,553594,267382,48.30
20,1826,UGROCAP,EQ,87916,30588,34.79
20,1827,UGROCAP,N1,61,61,100.00
20,1828,UJJIVAN,EQ,669353,358091,53.50
20,1829,UJJIVANSFB,EQ,984590,654196,66.44
20,1830,ULTRACEMCO,EQ,510600,282466,55.32
20,1831,UMANGDAIRY,EQ,11335,8768,77.35
20,1832,UNICHEMLAB,EQ,76794,27314,35.57
20,1833,UNIDT,EQ,28418,13140,46.24
20,1834,UNIENTER,EQ,3120,2119,67.92
20,1835,UNIINFO,EQ,17350,10882,62.72
20,1836,UNIONBANK,EQ,8126653,2841158,34.96
20,1837,UNITEDPOLY,EQ,6100,6100,100.00
20,1838,UNITEDTEA,EQ,2216,1535,69.27
20,1839,UNIVASTU,EQ,2355051,358033,15.20
20,1840,UNIVCABLES,EQ,42965,21371,49.74
20,1841,UNIVPHOTO,EQ,2798,1655,59.15
20,1842,UPL,EQ,1973922,606187,30.71
20,1843,USHAMART,EQ,449589,341398,75.94
20,1844,UTIAMC,EQ,126018,78211,62.06
20,1845,UTIBANKETF,EQ,1195,977,81.76
20,1846,UTINEXT50,EQ,9724,8208,84.41
20,1847,UTINIFTETF,EQ,435,352,80.92
20,1848,UTISENSETF,EQ,437,415,94.97
20,1849,UTISXN50,EQ,574,550,95.82
20,1850,UTTAMSUGAR,EQ,117511,43699,37.19
20,1851,UWCSL,SM,4000,4000,100.00
20,1852,V2RETAIL,EQ,18060,11248,62.28
20,1853,VADILALIND,EQ,11002,7632,69.37
20,1854,VAIBHAVGBL,EQ,165572,58587,35.38
20,1855,VAISHALI,EQ,250238,191059,76.35
20,1856,VAKRANGEE,EQ,1265248,758552,59.95
20,1857,VALIANTORG,EQ,42815,18558,43.34
20,1858,VARDHACRLC,EQ,34513,24920,72.20
20,1859,VARDMNPOLY,EQ,24140,19333,80.09
20,1860,VARROC,EQ,245837,95192,38.72
20,1861,VASA,SZ,4000,4000,100.00
20,1862,VASCONEQ,EQ,346967,211529,60.97
20,1863,VASWANI,EQ,92482,64646,69.90
20,1864,VBL,EQ,510780,255079,49.94
20,1865,VCL,SM,2500,2500,100.00
20,1866,VEDL,EQ,4497068,932884,20.74
20,1867,VENKEYS,EQ,152702,15275,10.00
20,1868,VENUSREM,EQ,53067,42137,79.40
20,1869,VERTOZ,EQ,16715,8917,53.35
20,1870,VESUVIUS,EQ,23452,10520,44.86
20,1871,VETO,EQ,42094,25853,61.42
20,1872,VGUARD,EQ,275615,160329,58.17
20,1873,VHL,EQ,476,265,55.67
20,1874,VIDHIING,EQ,18751,10289,54.87
20,1875,VIJAYA,EQ,16783,7893,47.03
20,1876,VIMTALABS,EQ,14931,6600,44.20
20,1877,VINATIORGA,EQ,8925,3374,37.80
20,1878,VINDHYATEL,EQ,10664,4202,39.40
20,1879,VINEETLAB,EQ,16862,10013,59.38
20,1880,VINNY,SM,3000,3000,100.00
20,1881,VINYLINDIA,EQ,53793,17068,31.73
20,1882,VIPIND,EQ,309010,138952,44.97
20,1883,VIPULLTD,EQ,27193,12328,45.34
20,1884,VISAKAIND,EQ,795530,343203,43.14
20,1885,VISASTEEL,EQ,16202,9878,60.97
20,1886,VISHAL,EQ,3012826,1548383,51.39
20,1887,VISHWARAJ,EQ,4322079,1533113,35.47
20,1888,VIVIMEDLAB,EQ,137122,98034,71.49
20,1889,VIVO,SM,6400,4800,75.00
20,1890,VLSFINANCE,EQ,51938,30021,57.80
20,1891,VMART,EQ,5770,3606,62.50
20,1892,VOLTAMP,EQ,3054,1703,55.76
20,1893,VOLTAS,EQ,1862152,460270,24.72
20,1894,VRLLOG,EQ,191801,91758,47.84
20,1895,VSSL,EQ,53190,20719,38.95
20,1896,VSTIND,EQ,4274,2640,61.77
20,1897,VSTTILLERS,EQ,3038,1551,51.05
20,1898,VTL,EQ,68663,22156,32.27
20,1899,WABAG,EQ,513729,160267,31.20
20,1900,WABCOINDIA,EQ,1128,772,68.44
20,1901,WALCHANNAG,EQ,112467,62275,55.37
20,1902,WALPAR,SM,2000,2000,100.00
20,1903,WATERBASE,EQ,51454,33697,65.49
20,1904,WEBELSOLAR,EQ,372044,206339,55.46
20,1905,WEIZMANIND,EQ,41404,23772,57.41
20,1906,WELCORP,EQ,484793,194289,40.08
20,1907,WELENT,EQ,115030,56810,49.39
20,1908,WELINV,EQ,943,473,50.16
20,1909,WELSPUNIND,EQ,450684,207045,45.94
20,1910,WENDT,EQ,277,179,64.62
20,1911,WESTLIFE,EQ,33077,17928,54.20
20,1912,WEWIN,SM,3000,3000,100.00
20,1913,WHEELS,EQ,8407,4031,47.95
20,1914,WHIRLPOOL,EQ,47954,18479,38.53
20,1915,WILLAMAGOR,EQ,3224,2486,77.11
20,1916,WINDLAS,EQ,22094,13206,59.77
20,1917,WINDMACHIN,EQ,90377,56507,62.52
20,1918,WINPRO,EQ,446566,310747,69.59
20,1919,WIPRO,EQ,6705919,2300868,34.31
20,1920,WOCKPHARMA,EQ,224828,76995,34.25
20,1921,WONDERLA,EQ,32547,16574,50.92
20,1922,WORTH,EQ,24285,17326,71.34
20,1923,WSTCSTPAPR,EQ,118125,58975,49.93
20,1924,XCHANGING,EQ,196776,88050,44.75
20,1925,XELPMOC,EQ,43961,20838,47.40
20,1926,YAARI,EQ,60576,37259,61.51
20,1927,YESBANK,EQ,67852119,33761706,49.76
20,1928,YUKEN,EQ,1101,889,80.74
20,1929,ZEEL,EQ,7291926,1403301,19.24
20,1930,ZEEL,P2,307125,211723,68.94
20,1931,ZEELEARN,EQ,961285,528078,54.93
20,1932,ZEEMEDIA,EQ,4249313,2712007,63.82
20,1933,ZENITHEXPO,EQ,5436,3401,62.56
20,1934,ZENSARTECH,EQ,693660,317434,45.76
20,1935,ZENTEC,EQ,121832,74778,61.38
20,1936,ZODIACLOTH,EQ,8507,4052,47.63
20,1937,ZOMATO,EQ,15037123,4460053,29.66
20,1938,ZOTA,EQ,39860,28107,70.51
20,1939,ZUARI,EQ,118296,54028,45.67
20,1940,ZUARIGLOB,EQ,120438,52188,43.33
20,1941,ZYDUSWELL,EQ,83744,58504,69.86
